config,question_id,type,question,predicted,correct,score_mcq,score_numeric,score_explanation
finetuned,29,explanation,Explain Newton's First Law (Law of Inertia) with an example.,"{""newton_inertia"": ""According to Newton's First Law, an object at rest at rest or, when in motion, an object at a constant velocity will have a constant force acting on it."", ""example"": ""Consider a person pushing on a wall with their hands. The wall is initially at rest and then, when the person exerts the maximum force, the wall is pushed with the same force, but in the opposite direction. This is an example of an inertial frame of reference.""}","An object at rest stays at rest, and an object in motion stays in motion with the same velocity unless acted upon by a net external force. Example: A hockey puck sliding on frictionless ice will continue indefinitely until it hits a wall.",0.0,0.0,0.5
finetuned,30,mcq,Torque depends on: (A) Force only (B) Lever arm only (C) Force and lever arm (D) Mass and velocity,Torque is the product of the distance between the pivot point to force to the force vector.,C,0.0,0.0,0.0
finetuned,31,numeric,Calculate the impulse derived from a force of 50 N acting for 0.1 seconds.,"{""impulse"": {""x"": $3.04$, ""y"": $4.3467$, ""units"": ""N""}}",5,0.0,0.0,0.0
finetuned,32,explanation,Why does a solitary force not exist in nature according to Newton's Third Law?,The solitary force did not exist in nature because it would require an infinite amount of $force$ to be physically possible.,"Newton's Third Law states that for every action, there is an equal and opposite reaction. Forces always occur in pairs (action-reaction pairs) acting on different objects. You cannot touch something without it touching you back.",0.0,0.0,0.5
finetuned,33,mcq,Angular momentum is conserved when: (A) Net force is zero (B) Net torque is zero (C) Kinetic energy is constant (D) Velocity is constant,These are some of the properties of the net force acting on an object.,B,0.0,0.0,0.0
finetuned,34,numeric,A 1000 kg car rounds a turn of radius 50 m at 10 m/s. What is the centripetal force required?,$F_c = 833$ N,2000,0.0,0.0,0.0
finetuned,35,explanation,Differentiate between conservative and non-conservative forces.,"{""Conservative forces"": ""have a unit of $N$"", ""Non-Conservative forces"": ""have no unit""}","A conservative force (like gravity) does work that is independent of the path taken; energy used against it is stored as potential energy and is recoverable. A non-conservative force (like friction) depends on the path, and work done dissipates mechanical energy into heat.",0.0,0.0,0.0
finetuned,36,mcq,A skater spins faster when she pulls her arms in. This is due to conservation of: (A) Energy (B) Linear Momentum (C) Angular Momentum (D) Mass,"[""(A) Energy (B): Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A) Linear Momentum (C) Angular Momentum (D) Mass: (A)",C,0.0,0.0,0.0
finetuned,37,numeric,Find the kinetic energy of a 2 kg object moving at 3 m/s.,"{""solution"": ""To find the kinetic energy, we use the formula:
k = 1/2 * m * v^2
where:
- $k$ is the kinetic energy
- $m$ is the mass of the object
- $v$ is the velocity of the object
- $m$ is the mass of the object

Substituting the given values, we get:
$K = 1/2 * 2 * 3$ m/s = $6$ J""}",9,0.0,0.0,0.0
finetuned,38,explanation,How does air resistance affect the trajectory of a projectile?,Air resistance is a force that opposes the motion of an object and is proportional to some function of the square of the $velocity$ of the object. It always opposes the motion and is always included in the calculation of the range.,Air resistance opposes velocity. It reduces the maximum height and shortens the horizontal range. It also causes the trajectory to be non-parabolic (steeper on the way down).,0.0,0.0,1.5
finetuned,39,mcq,Which physical quantity corresponds to inertia in rotational motion? (A) Mass (B) Torque (C) Moment of Inertia (D) Anger,"{""rotational_moment"": ""Inertia"", ""explanation"": ""Inertia is a measure of an object's inertia, which is the tendency of an object to remain at rest or, in this case, to cause a point in the rotating merry-go-round to revolve in a straight line.""}",C,0.0,0.0,0.0
finetuned,40,numeric,"A vector A has components Ax=3, Ay=4. What is its magnitude?","{""magnitude"": {""x"": $3.0$, ""y"": $4.0$, ""units"": $1$}}",5,0.0,1.0,0.0
finetuned,41,explanation,Explain the concept of terminal velocity.,"Terminal velocity is the velocity of an object falling through a fluid, such as air or water. It is the velocity at which the object reaches when it has fallen through $1$ $s$.","Terminal velocity is the constant speed reached by a falling object when the upward force of air resistance exactly balances the downward force of gravity. At this point, net force is zero, so acceleration is zero.",0.0,0.0,0.5
finetuned,42,mcq,Power is defined as: (A) Work done per unit distance (B) Force times time (C) Rate of doing work (D) Energy times time,"{""solution"": ""(A) Work per unit distance (B)"": ""Work done per unit distance ($W/10$) is the distance traveled by an object. This is calculated by the following:
1. The work done on an object in the first problem is $1$ J, which is $10^{-2}$ J.
2. The force time times is $1$ s, which is significantly less than the work done in the first problem.
3. The rate of doing work per unit distance ($W/10$) is $1$ s, which is the same as the work done on the object in the first problem.
4. The rate of doing work per unit time is $1$ s, which is the same as the work done on the object in the first problem.
5. The energy times times is $1$ s, which is significantly less than the work done on the object in the first problem.

As for energy times times:
1. The force time of $1$ s is $1$ s.
2. The force time times times is $1$ s.
3. The rate of doing work per unit time is $1$ s.
4. The rate of doing work per unit distance is $1$ s.""}",C,0.0,0.0,0.0
finetuned,43,numeric,An engine does 1000 J of work in 2 seconds. What is its power output in Watts?,"To calculate the power output of the engine, we can use the conversion factor of $1$ J = $1$ N, and the time used is $2$ s.

$1000$ J = $2$ N",500,0.0,1.0,0.0
finetuned,44,explanation,Why can we not use the kinematic equations (suvat) for a spring-mass system oscillating?,"The kinematic equations ($suvat$) cannot be used for a spring-mass system oscillating because the spring is a special medium, which is denser than water.","Kinematic equations (like $v = u + at$) assume *constant* acceleration. In a spring-mass system ($F = -kx$), the force and thus acceleration varies with position ($a$ is not constant), so those specific equations are invalid. We must use simple harmonic motion equations.",0.0,0.0,0.0
finetuned,45,mcq,Elastic collision implies conservation of: (A) Momentum only (B) KE only (C) Momentum and KE (D) Mass only,"Elastic collision has a momentum form, where $1$ N = $1$ kg.",C,0.0,0.0,0.0
finetuned,46,numeric,Calculate the gravitational potential energy of a 10kg mass raised to 2 meters. (g=9.8),"{""G"": 98.667, ""units"": ""J""}",196,0.0,0.0,0.0
finetuned,47,explanation,What happens to the period of a simple pendulum if the mass of the bob is doubled? Explain.,"If the mass of the bob is doubled, the period of the pendulum would be quadrupled, since the period is inversely proportional to the mass.",The period remains unchanged. The period of a simple pendulum $T = 2\pi\sqrt{L/g}$ depends only on length $L$ and gravity $g$. Mass cancels out in the derivation because both the restoring force (gravity) and the inertia (mass) scale linearly with mass.,0.0,0.0,0.0
finetuned,48,mcq,The scalar product of force and velocity gives: (A) Work (B) Power (C) Momentum (D) Acceleration,"{""solution"": ""The scalar product of force and velocity is:

$W = 1.225 \cdot M$

Since the mass of the object is $7.00$ kg, the force is $7.00 \cdot 9.80 = 683.33$ N.

The moment of the object is $683.33 \cdot 9.80 = 683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.80 = $683.33 \cdot 9.",B,0.0,0.0,0.0
finetuned,49,numeric,A force of 10N is applied to a nut using a wrench of length 0.2m perpendicular to the axis. What is the torque?,"The torque acting on the nut is equal in magnitude and opposite in direction to the force of 10N, because the nut is rotating.",2,0.0,0.0,0.0
finetuned,50,explanation,Explain using the Impulse-Momentum theorem why airbags reduce injury in car crashes.,"When a car is pushed, the airbag is the first thing to deflate. The impulse is calculated using the formula: $J = F = 1/2 \cdot C \cdot \delta t$, where C is the spring constant and $\delta t$ is the elapsed time.","The change in momentum (to bring the passenger to a stop) is fixed. The Impulse $J = F \Delta t = \Delta p$. Airbags increase the time/duration $\Delta t$ of the collision. By increasing $\Delta t$ for the same $\Delta p$, the average force $F$ exerted on the passenger is significantly reduced, minimizing injury.",0.0,0.0,0.0
