config,question_id,type,question,predicted,correct,score_mcq,score_numeric,score_explanation
Base,11,numeric,A 2 kg block slides down a frictionless 30-degree incline. value of g is 9.8 m/s^2. What is the acceleration along the incline in m/s^2?,"To find the acceleration of the block sliding down the incline, we can use the formula for the acceleration in terms of mass, gravity, and the angle of the incline:

a = mg sinθ

where:
m is the mass (2 kg),
g is the acceleration due to gravity (9.8 m/s²),
θ is the angle of the incline (30 degrees), and
a is the acceleration along the incline.

First, let's convert the angle to radians for the formula:

θ = 30° = 0.524 radians

Now, we can calculate the acceleration:

a = mg sinθ
a = (2 kg) × (9.8 m/s²) × sin(0.524 radians)
a ≈ 6.27 m/s²

So, the acceleration along the incline is approximately 6.27 m/s².",4.9,0.0,0.0,0.0
Base,12,mcq,Which of Newton's laws explains recoil in a gun? (A) First Law (B) Second Law (C) Third Law (D) Law of Gravitation,"(C) Third Law: For every action, there is an equal and opposite reaction. When a gun is fired, the bullet is propelled forward due to the action of the explosive force of the gunpowder. Accordingly, there is an equal and opposite reaction that is experienced by the gun, resulting in its recoil.",C,1.0,0.0,0.0
Base,13,explanation,Describe the relationship between kinetic energy and work as stated by the Work-Energy Theorem.,"The Work-Energy Theorem is a fundamental principle in classical mechanics that describes the relationship between work done on an object and its resulting kinetic energy. According to this theorem, the change in an object's kinetic energy is equal to the work done by the force acting on the object. Mathematically, this can be expressed as:

ΔK.E = W

where ΔK.E represents the change in an object's kinetic energy (K.E), and W represents the work done by the force acting on the object. A positive value of work implies that energy has been transferred to the object, increasing its kinetic energy, while a negative value of work implies that energy has been removed from the object, decreasing its kinetic energy.

It is important to note that this theorem applies to objects moving in a straight line, and for forces that are constant in direction as well as in magnitude. For more complex situations involving forces that change direction or non-constant magnitudes, the Work-Energy Theorem may need to be modified or applied using the concept of energy integrals or the Path Integral Form of the Work-Energy Theorem.

In summary, the Work-Energy Theorem states that the change in an object's kinetic energy is equal to the work done by the force acting on the object. This principle provides a fundamental connection between the work done on an object and the resulting change in its kinetic energy.","The Work-Energy Theorem states that the net work done on an object is equal to the change in its kinetic energy ($W_{net} = \Delta KE$). If positive work is done, kinetic energy increases; if negative work is done, it decreases.",0.0,0.0,4.5
Base,14,mcq,"If the distance between two masses is doubled, the gravitational force between them becomes: (A) Double (B) Half (C) One-fourth (D) Four times","The answer is (A) Double. The gravitational force between two masses is directly proportional to the mass of each object and inversely proportional to the square of the distance between them (according to Newton's law of universal gravitation). So, if the distance is doubled, the force will also be doubled, assuming the masses remain constant.",C,0.0,0.0,0.0
Base,15,numeric,Convert 72 km/h to m/s.,"To convert kilometers per hour (km/h) to meters per second (m/s), you can use the following conversion formula: m/s = km/h ÷ 3.6.

So, to convert 72 km/h to m/s:

m/s = 72 km/h ÷ 3.6

m/s = 20 km/s (approximately)

Note: This result is not physically realistic as it is much larger than the speed of an average vehicle or any known object. The error is due to rounding and the approximation involved in the conversion factor (3.6 m/s = 1 hm). The correct conversion is approximately 20 m/s², which is equivalent to 72 km/h in acceleration, not velocity.",20,0.0,0.0,0.0
Base,16,explanation,Explain why static friction is usually greater than kinetic friction.,"Static friction, which is the force that prevents an object from moving when there is no net force acting on it, is generally greater than kinetic friction, which is the force that opposes the motion of an object once it is in contact with a surface. The reason for this is that at the microscopic level, when two surfaces are in contact but not moving against each other, there are more interactive forces between them that create a stronger resistance to separation.

When two surfaces are in contact, there are various types of forces that come into play. At a molecular level, there are intermolecular forces such as van der Waals forces, electrostatic forces, and chemical forces that can exist between the surfaces. These forces can create a strong attractive interaction between the surfaces, making it harder to move one surface against the other.

On the other hand, when an object is already in motion, there is a thin layer of fluid (like air or water) or deformed material (like the contact between two solid surfaces) between them. This reduces the number of interactive forces between the surfaces, making it easier to move one surface against the other, resulting in a smaller frictional force.

Additionally, the coefficient of static friction (μs) is often greater than the coefficient of kinetic friction (μk) for a given surface pair. This is a measurable property of the surfaces and can be attributed to the factors mentioned above. For example, in the case of a rough surface, the surface irregularities can interlock and create a stronger resistance to motion when there is no net force acting (static friction), compared to when the surface is in motion and these irregularities are being deformed or slippery (kinetic friction).

In summary, static friction is usually greater than kinetic friction due to the presence of stronger intermolecular and surface forces that resist separation between two surfaces when there is no net force acting on them.","Static friction arises from the interlocking of irregularities and molecular bonds between surfaces at rest, requiring more force to break them ('cold welding'). Kinetic friction occurs when surfaces are already sliding, where the contact points don't have enough time to bond as strongly.",0.0,0.0,4.5
Base,17,mcq,Potential energy is associated with: (A) Motion (B) Position (C) Time (D) Velocity,"(B) Position

Explanation:

Potential energy is a form of energy that a system possesses due to its position or configuration. It depends on the position or arrangement of the objects in a system, rather than their motion or velocity. For example, an object raised to a certain height above the ground has potential energy due to its position relative to the ground. The potential energy is dependent on the position, not the motion or time.",B,1.0,0.0,0.0
Base,18,numeric,A spring with constant k=100 N/m is compressed by 0.2 m. How much potential energy (in J) is stored?,"To find the potential energy stored in the compressed spring, we can use the formula:

Potential Energy = 0.5 * k * (compression)^2

Where:
k = spring constant (100 N/m)
compression = distance compressed (0.2 m)

Substituting the given values into the formula, we get:

Potential Energy = 0.5 * 100 N/m * (0.2 m)²

Calculating this value, we find:

Potential Energy = 0.5 * 100 N/m * 0.04 m²
Potential Energy = 20 J",2,0.0,0.0,0.0
Base,19,mcq,"In an inelastic collision, which quantity is conserved? (A) Kinetic Energy (B) Momentum (C) Both (D) Neither","The answer is (C) Both. In an inelastic collision, the total momentum before the collision is equal to the total momentum after the collision. Additionally, the total kinetic energy before the collision is equal to the total kinetic energy after the collision. However, it's important to note that the individual kinetic energies of the colliding objects may change during the collision, but their total remains constant.",B,0.0,0.0,0.0
Base,20,explanation,What is the difference between mass and weight?,"Mass and weight are two related but distinct concepts in physics. 

Mass is a measure of the amount of matter in an object. It is a fundamental property of an object and remains constant, regardless of where the object is located. Mass is typically measured in kilograms or grams in the SI system.

Weight, on the other hand, is a measure of the force exerted on an object due to gravity. It depends on both the mass of the object and the acceleration due to gravity. Weight is typically measured in newtons or pounds. 

So, all objects have a certain mass, but the weight of an object depends on the location – for example, an object with a certain mass will have more weight on a planet with stronger gravity, and less weight on a planet with weaker gravity.","Mass is the measure of the amount of matter in an object and is intrinsic (scalar, doesn't change with location). Weight is the force of gravity acting on that mass ($W=mg$) and depends on the local gravitational field (vector).",0.0,0.0,5.0
Base,21,mcq,The area under a force-displacement graph represents: (A) Impulse (B) Work (C) Power (D) Acceleration,"The area under a force-displacement (or work) graph represents the work done by the force. Therefore, the correct answer is (B) Work. Impulse is represented by the area under a force-time graph, power is represented by the work done divided by time, and acceleration is a measure of the rate of change of velocity.",B,0.0,0.0,0.0
Base,22,numeric,"What is the period (in seconds) of a pendulum of length 1 meter? (Assume g=9.8 m/s^2, use T = 2*pi*sqrt(L/g), pi approx 3.14)","Using the given formula T = 2π√(L/g), where L is the length of the pendulum and g is the acceleration due to gravity, we can find the period T in seconds.

Given: L = 1 m, g = 9.8 m/s²

First, calculate the square root of L/g:

√(L/g) = √(1 m / 9.8 m/s²)

Using a calculator, we get:

√(L/g) ≈ 0.4332 s

Now, multiply this value by 2π:

T = 2π * √(L/g)
T = 2 * 3.14 * 0.4332 s
T ≈ 2.11 seconds.

So, the period of a pendulum of length 1 meter is approximately 2.11 seconds.",2.0,0.0,0.0,0.0
Base,23,explanation,Use the concept of center of mass to explain why a high jumper uses the Fosbury Flop technique.,"The Fosbury Flop is a high jumping technique named after its inventor, Dick Fosbury. In this technique, the jumper approaches the bar with their back to it, then rotates their body in a forward direction over the bar. This is in contrast to the older straight-leg style, where jumpers approached the bar head-on and cleared it by bending their legs and keeping their bodies as horizontal as possible.

The reason why the Fosbury Flop is used in modern high jumping instead of the straight-leg style has to do with the principle of center of mass. In physics, the center of mass is the point in an object where its mass is evenly distributed, such that the weight of the object acts as if it were all located at that point.

When a high jumper uses the straight-leg style, their body forms an inverted pendulum during the jump. This means that their center of mass is located above the base of support, which is their feet. This makes the jump less stable and more difficult to execute, especially when attempting to clear a bar at a high height.

On the other hand, when a jumper uses the Fosbury Flop technique, they rotate their body forward over the bar, which allows their center of mass to be located below the bar during the jump. This makes the jump more stable and easier to execute, as the jumper's center of mass is closer to the base of support and directly under the bar.

Additionally, the Fosbury Flop technique allows jumpers to clear the bar at a higher angle, as they can remain in the air for longer and have more time to clear the bar. By rotating their body forward over the bar, jumpers can also generate more momentum and power, which helps them to clear the bar at a greater height.

In summary, the reason why high jumpers use the Fosbury Flop technique instead of the straight-leg style has to do with the principle of center of mass. By rotating their body forward over the bar, jumpers can position their center of mass below the bar during the jump, making the jump more stable and easier to execute, and allowing them to clear the bar at a higher height.",The Fosbury Flop allows the jumper to arch their back such that their center of mass passes *under* the bar while their body passes over it. This requires less energy/vertical lift compared to techniques where the center of mass must clear the bar height.,0.0,0.0,5.0
Base,24,mcq,Which force is non-conservative? (A) Gravity (B) Spring force (C) Friction (D) Electrostatic force,"(C) Friction: Friction is a non-conservative force because it does not follow the principle of conservation of energy. When work is done by friction against an object, energy is dissipated and lost as heat, rather than being stored in potential energy like in the cases of gravity and spring forces. In contrast, gravity and spring forces are conservative forces, meaning that the total energy of a system remains constant if no external work is done on the system. Electrostatic forces also follow the principle of conservation of energy and are therefore conservative forces.",C,1.0,0.0,0.0
Base,25,numeric,A wheel rotates at 300 revolutions per minute. What is its angular velocity in rad/s? (Use pi=3.14),"To find the angular velocity in radians per second, we can use the formula:

Angular velocity = Number of revolutions per minute * (2 * pi * Radians per minute) / 60 minutes

Given that the wheel rotates at 300 revolutions per minute, and we have pi = 3.14:

Angular velocity = 300 * (2 * 3.14 * 1) / 60

Calculate the value:

Angular velocity = 300 * (6.2831853) / 60
Angular velocity = 37.7011465 rad/s

So the angular velocity of the wheel is approximately 37.70 radians per second.",31.4,0.0,0.0,0.0
Base,26,explanation,Why is banking of roads used on curves?,"Banking of roads, or the slope or curvature of the pavement on the side of a turn, is used to enhance the safety and stability of vehicles while navigating curves. Here are a few reasons why banking is essential:

1. Centrifugal force: When a vehicle travels at a certain speed around a curve, it tends to move towards the outside of the turn due to centrifugal force. Banking the road gives the vehicle a stable path to follow, allowing it to stay on the road and maintain its intended trajectory.

2. Reduces lateral force: By banking the road, the force required to keep a vehicle on the road during a turn is reduced. This makes the driving experience smoother and more comfortable, especially for inexperienced drivers or when traveling at high speeds.

3. Improves handling: Banking also plays a role in improving a vehicle's handling during turns by allowing the tires to maintain contact with the pavement throughout the turn. This is particularly important for larger vehicles like buses or trucks, which can be more prone to losing traction and tipping over on sharp turns.

4. Increases stopping distance: Banking a road can also help to increase the stopping distance of vehicles during a turn, as the tires are better able to maintain traction and the vehicle's path remains more predictable.

5. Reduces wear and tear: By helping vehicles stay on the road during turns, banking can also help to reduce the wear and tear on tires, brakes, and other components. This can ultimately save drivers money and help to extend the life of their vehicles.

In summary, banking of roads is used on curves to enhance safety, stability, handling, and reduce wear and tear on vehicles during turns. It is an essential design element for roads and highways, and plays a crucial role in ensuring a smooth and efficient driving experience.","Banking provides a component of the Normal force towards the center of the curve, which contributes to the necessary centripetal force. This reduces the reliance on friction to turn the vehicle, allowing for higher speeds or safer turns on slippery surfaces.",0.0,0.0,4.5
Base,27,mcq,The rate of change of momentum is equal to: (A) Impulse (B) Force (C) Energy (D) Power,"The rate of change of momentum is equal to force (B). This is a fundamental concept in physics, as described by Newton's second law of motion. Impulse (the integral of force over time), energy, and power are related quantities, but they are not equal to the rate of change of momentum.",B,1.0,0.0,0.0
Base,28,numeric,A 5 kg ball is dropped from a height of 10 meters. What is its potential energy relative to the ground? (g=9.8 m/s^2),"To find the potential energy of the ball, we need to use the formula:

Potential Energy = m * g * h

where m is the mass of the ball, g is the acceleration due to gravity, and h is the height from which the ball is dropped.

Given:
m = 5 kg
g = 9.8 m/s^2
h = 10 m

Plugging the values into the formula, we get:

Potential Energy = 5 kg * 9.8 m/s^2 * 10 m
Potential Energy = 490 Joules

So, the potential energy of the 5 kg ball relative to the ground is 490 Joules.",490,0.0,1.0,0.0
Base,29,explanation,Explain Newton's First Law (Law of Inertia) with an example.,"Newton's First Law, also known as the Law of Inertia, states that an object at rest will remain at rest, and an object in motion will continue in motion with a constant velocity in a straight line, unless acted upon by an external force. In other words, an object tends to maintain its state of motion, either of rest or uniform motion in a straight line, unless an external force is applied to it.

Let's consider an example to better understand this law:

Imagine a large wooden block is placed on a frictionless surface, such as an ice rink. Once the block is given a gentle push, it will continue to move smoothly and steadily in a straight line at a constant velocity, without any external force acting on it. This is because there is no force opposing its motion and the only force acting on it is its own weight, which doesn't affect its motion in this scenario.

However, if we introduce an external force, such as pushing against the block with our hand, the block will accelerate and change its velocity as a result. Therefore, the absence of external forces and the resulting constant motion of an object is a key aspect of Newton's First Law.

Another example would be an astronaut floating in a spacecraft in the absence of any gravity. In this scenario, the astronaut remains at rest or moves with a constant velocity as long as no external force acts upon them. Once an external force is applied, such as pressing against a button in the spacecraft, that force will cause an acceleration and a change in velocity for the astronaut.","An object at rest stays at rest, and an object in motion stays in motion with the same velocity unless acted upon by a net external force. Example: A hockey puck sliding on frictionless ice will continue indefinitely until it hits a wall.",0.0,0.0,4.5
Base,30,mcq,Torque depends on: (A) Force only (B) Lever arm only (C) Force and lever arm (D) Mass and velocity,"The correct answer is (C) Force and lever arm. Torque is a measure of rotational force, and it depends on both the force applied and the distance from the pivot point or lever arm at which the force is applied.",C,1.0,0.0,0.0
Base,31,numeric,Calculate the impulse derived from a force of 50 N acting for 0.1 seconds.,"The impulse (J) is defined as the product of force (F) and time (t): J = F * t. In this case, the force is 50 N and the time is 0.1 seconds. Therefore, the impulse is: J = 50 N * 0.1 s = 5 Joules (5 N.s)",5,0.0,1.0,0.0
Base,32,explanation,Why does a solitary force not exist in nature according to Newton's Third Law?,"According to Newton's Third Law of Motion, for every action there is an equal and opposite reaction. This law applies to pairs of interacting objects, not to a single object acting on itself. In other words, the law requires a force to act on one object and, simultaneously, an equal and opposite force to act on another object.

Therefore, the concept of a solitary force does not exist in nature according to Newton's Third Law, as there must always be two objects interacting with each other, each exerting a force on the other. A single object cannot exert a force on itself and simultaneously experience an equal and opposite force, as required by the law.","Newton's Third Law states that for every action, there is an equal and opposite reaction. Forces always occur in pairs (action-reaction pairs) acting on different objects. You cannot touch something without it touching you back.",0.0,0.0,5.0
Base,33,mcq,Angular momentum is conserved when: (A) Net force is zero (B) Net torque is zero (C) Kinetic energy is constant (D) Velocity is constant,"Answer: (B) Net torque is zero.

Angular momentum is a vector quantity that describes the rotational motion of an object. It is given by the product of the object's moment of inertia, its angular velocity, and its angular position. Angular momentum is conserved in a closed system if and only if the net torque acting on the system is zero. This is a consequence of Newton's second law of motion, which states that the net force on an object is equal to its mass times its acceleration. Since angular momentum is a measure of the object's rotational motion, and acceleration is a measure of the rate of change of an object's velocity, it follows that a constant angular momentum implies a constant velocity only if the net force on the object is zero. However, a constant angular momentum does not necessarily imply a constant kinetic energy or velocity. For example, an object can have a constant angular momentum but still experience a change in kinetic energy if its moment of inertia changes. Similarly, an object can have a constant angular momentum but still have a variable velocity if its angular acceleration is nonzero. Therefore, options (C) and (D) are incorrect. Option (A) is incorrect because a net force can exist in a system without causing a change in angular momentum, as long as the torque produced by the force is balanced by an equal and opposite torque from another source. However, if the net torque is zero, then the angular momentum is conserved.",B,1.0,0.0,0.0
Base,34,numeric,A 1000 kg car rounds a turn of radius 50 m at 10 m/s. What is the centripetal force required?,"To find the centripetal force required, we can use the formula:

centripetal force = mass * (velocity^2 / radius)

Given:
mass (m) = 1000 kg
velocity (v) = 10 m/s
radius (r) = 50 m

Plugging the values into the formula, we get:

centripetal force = 1000 kg * (10 m/s)^2 / 50 m
centripetal force = 1000 kg * 100 m^2/s^2 / 50 m
centripetal force = 2000 N

So, the centripetal force required is 2000 Newtons.",2000,0.0,1.0,0.0
Base,35,explanation,Differentiate between conservative and non-conservative forces.,"Conservative and non-conservative forces are two types of physical forces that differ in their properties and behavior with respect to energy transfer.

Conservative forces are those forces that can be described by a potential energy function. These forces are always directed towards a point of equilibrium, and the energy associated with them can be stored and later released. Examples of conservative forces include gravity, elastic forces, and electrostatic forces. When a conservative force acts on an object, the energy it transfers to the object is in the form of potential energy, which can be calculated using the potential energy function. Once the object reaches the point of equilibrium, the potential energy is converted back to other forms of energy, such as kinetic energy, and the total energy of the system remains constant, as long as no other external forces are acting on the object.

Non-conservative forces, on the other hand, cannot be described by a potential energy function. These forces do not have a definite direction towards a point of equilibrium, and the energy they transfer to an object is not conserved. Examples of non-conservative forces include friction, air resistance, and viscous forces. When a non-conservative force acts on an object, the energy it transfers is converted into other forms of energy, such as heat, and the total energy of the system decreases. This loss of energy cannot be regained even when the object is at rest, as the non-conservative force continues to act until the object reaches a new state of equilibrium.

In summary, conservative forces are those that can be described by a potential energy function, are always directed towards a point of equilibrium, and can store and later release energy. Non-conservative forces, on the other hand, cannot be described by a potential energy function, do not have a definite direction towards a point of equilibrium, and cause a loss of energy that cannot be regained.","A conservative force (like gravity) does work that is independent of the path taken; energy used against it is stored as potential energy and is recoverable. A non-conservative force (like friction) depends on the path, and work done dissipates mechanical energy into heat.",0.0,0.0,5.0
Base,36,mcq,A skater spins faster when she pulls her arms in. This is due to conservation of: (A) Energy (B) Linear Momentum (C) Angular Momentum (D) Mass,"The correct answer is (C) Angular Momentum.

When a skater pulls her arms in while spinning, she reduces the length of the lever arm for her body's rotation. This increases the skater's angular velocity (spinning speed), as the total angular momentum (angular velocity multiplied by moment of inertia) remains constant due to the conservation of angular momentum.",C,1.0,0.0,0.0
Base,37,numeric,Find the kinetic energy of a 2 kg object moving at 3 m/s.,"The formula for calculating the kinetic energy of an object is given by the equation: K.E = 0.5 * m * v^2, where m is the mass of the object and v is its velocity.

Given that the mass (m) of the object is 2 kg and its velocity (v) is 3 m/s, we can calculate the kinetic energy (K.E) as follows:

K.E = 0.5 * m * v^2
K.E = 0.5 * 2 kg * (3 m/s) ^ 2
K.E = 0.5 * 2 kg * 9 m^2/s^2
K.E = 9 Joules

So, the kinetic energy of the 2 kg object moving at 3 m/s is 9 Joules.",9,0.0,1.0,0.0
Base,38,explanation,How does air resistance affect the trajectory of a projectile?,"Air resistance, also known as drag, is a force that opposes the motion of an object moving through the air. It is caused by the collisions of air molecules with the surface of the object. For a projectile, air resistance can significantly affect its trajectory in several ways:

1. Decreases the maximum height: Air resistance can cause the projectile to lose energy as it moves through the air, which reduces its maximum height. This is because the projectile's kinetic energy is being used to overcome air resistance, instead of being used to increase its altitude.

2. Slows down the projectile: Air resistance can also cause the projectile to slow down as it moves through the air. This can result in a shorter range for the projectile, as it will not be moving as fast when it reaches the ground.

3. Affects the shape of the trajectory: The effect of air resistance on the trajectory of a projectile can be described using the equations of motion for a projectile in the absence of air resistance (known as the parabolic trajectory) and the modifications to those equations that account for air resistance. In general, the inclusion of air resistance results in a trajectory that is flatter and more horizontal than the parabolic trajectory.

4. Increases the time of flight: The reduction in the projectile's speed due to air resistance causes an increase in the time of flight. This can have practical applications, such as in the design of mortars and artillery shells, where a longer time of flight can increase the effective range of the weapon.

In summary, air resistance causes a projectile to lose energy as it moves through the air, which results in a decreased maximum height, a slower velocity, a flatter trajectory, and an increased time of flight. These effects become more significant as the size, shape, and speed of the projectile increase, as well as at higher altitudes where the air density is lower.",Air resistance opposes velocity. It reduces the maximum height and shortens the horizontal range. It also causes the trajectory to be non-parabolic (steeper on the way down).,0.0,0.0,5.0
Base,39,mcq,Which physical quantity corresponds to inertia in rotational motion? (A) Mass (B) Torque (C) Moment of Inertia (D) Anger,"[C] Moment of Inertia

Explanation:
In rotational motion, inertia is represented by the moment of inertia. This physical quantity describes the resistance of a body to rotational acceleration around a particular axis. Moment of inertia depends on both the mass of the body and its distribution of mass around the axis of rotation. Mass alone (Option A) does not directly describe the inertia in rotational motion; it is a factor that enters into the calculation of the moment of inertia. Torque (Option B) is a measure of the force that causes rotational motion. Anger (Option D) is not a physical quantity.",C,1.0,0.0,0.0
Base,40,numeric,"A vector A has components Ax=3, Ay=4. What is its magnitude?","To find the magnitude (or length) of a vector with components x and y, you can use the formula derived from the Pythagorean theorem:

Magnitude = √(ax² + ay²)

Substituting the given values Ax = 3 and Ay = 4 into the formula:

Magnitude = √(3² + 4²)

First, square each component:

3² = 9, 4² = 16

Now, add the squared components:

Magnitude = √(9 + 16)

Calculate the square root:

Magnitude = √(25)
Magnitude = 5

So, the magnitude of the vector A with components Ax = 3 and Ay = 4 is 5 units.",5,0.0,1.0,0.0
Base,41,explanation,Explain the concept of terminal velocity.,"Terminal velocity is the constant maximum speed that an object reaches when it is falling through a liquid or a gas, without being impeded by any external forces other than air resistance or buoyancy. This velocity is dependent on the properties of the object and the medium through which it is falling.

When an object is first released, it falls with an increasing velocity due to the force of gravity. However, as the object gains speed, the air resistance or buoyancy force acting on it also increases. At some point, these opposing forces will balance each other out, and the object will no longer accelerate. This is terminal velocity.

The formula for calculating terminal velocity is:

Vt = sqrt(2 * g * (ρo - ρ) / ρ)

where:
Vt = terminal velocity
g = acceleration due to gravity
ρo = density of the object
ρ = density of the medium

This formula shows that the terminal velocity depends on the density of the object and the medium. For example, a heavier object will fall faster through a lighter medium, as the buoyancy force will be smaller relative to its weight, and it will reach a higher terminal velocity. Conversely, a lighter object will fall slower through a denser medium, as the buoyancy force will be greater relative to its weight, and it will reach a lower terminal velocity.

In summary, terminal velocity is the constant maximum speed an object reaches when it is falling through a fluid or a gas, and it is determined by the object's density and the medium's density.","Terminal velocity is the constant speed reached by a falling object when the upward force of air resistance exactly balances the downward force of gravity. At this point, net force is zero, so acceleration is zero.",0.0,0.0,4.5
Base,42,mcq,Power is defined as: (A) Work done per unit distance (B) Force times time (C) Rate of doing work (D) Energy times time,"(C) Rate of doing work. Power is defined as the rate at which work is done. It is measured in watts (W). Therefore, power is equal to force (F) times distance (d) divided by time (t), or P = Fd/t, or P = F·v (where v is velocity). Alternatively, power can be defined as energy (E) per unit time, P = E/t. However, the definition of power as work done per unit distance or force times time is not correct.",C,1.0,0.0,0.0
Base,43,numeric,An engine does 1000 J of work in 2 seconds. What is its power output in Watts?,"Power is defined as the amount of energy (work) done per unit time. The formula for power is:

Power = Energy / Time

Given that the engine does 1000 Joules of work in 2 seconds, we can calculate its power output as:

Power = 1000 Joules / 2 seconds = 500 Watts

So the engine's power output is 500 Watts.",500,0.0,1.0,0.0
